date, pm10, o3, no2
2023/12/24, 52, , 4
2023/12/25, 28, , 5
2023/12/26, 74, , 4
2023/12/27, 14, , 6
2023/12/28, 32, , 8
2023/12/29, 54, , 7
2023/12/30, 39, , 6
2023/12/31, 36, , 10
2024/1/1, 56, , 7
2023/7/2, 30, 51, 5
2023/7/3, 29, 69, 4
2023/7/4, 32, 65, 5
2023/7/5, 35, 63, 5
2023/7/6, 33, 58, 4
2023/7/7, 40, 45, 4
2023/7/8, 33, 42, 5
2023/7/9, 28, 56, 3
2023/7/10, 22, 62, 4
2023/7/11, 25, 65, 4
2023/7/12, 20, 52, 6
2023/7/13, 34, 61, 6
2023/7/14, 39, 63, 5
2023/7/15, 53, 63, 6
2023/7/20, 61, 42, 4
2023/7/21, 39, 60, 4
2023/7/22, 41, 41, 4
2023/7/23, 43, 18, 3
2023/7/24, 49, , 3
2023/7/25, 22, , 4
2023/8/2, 75, , 3
2023/8/3, 44, , 4
2023/8/4, 32, , 5
2023/8/5, 53, , 5
2023/8/6, 24, , 5
2023/8/7, 35, , 6
2023/8/8, 39, , 7
2023/8/9, 56, , 6
2023/8/10, 34, , 6
2023/8/12, 28, , 5
2023/8/13, 29, , 3
2023/8/14, 27, , 4
2023/8/15, 23, , 3
2023/8/16, 32, , 4
2023/8/17, 33, , 6
2023/8/18, 24, , 5
2023/8/19, 16, , 5
2023/8/20, 20, , 4
2023/8/21, 30, , 
2023/8/23, 21, , 4
2023/8/24, 26, , 3
2023/8/25, 24, , 4
2023/8/26, 35, , 4
2023/8/27, 29, , 3
2023/8/28, 18, , 5
2023/8/29, 29, , 5
2023/8/30, 31, , 6
2023/8/31, 36, , 4
2023/9/1, 16, , 6
2023/9/2, 23, , 5
2023/9/3, 35, , 3
2023/9/4, 30, , 6
2023/9/5, 34, , 5
2023/9/6, 33, , 6
2023/9/7, 32, , 
2023/9/13, 47, , 6
2023/9/14, 44, , 5
2023/9/15, 45, , 4
2023/9/16, 39, , 3
2023/9/17, 37, , 2
2023/9/18, 25, , 5
2023/9/19, 23, , 5
2023/9/20, 27, , 5
2023/9/21, 32, , 7
2023/9/22, 38, , 6
2023/9/23, 39, , 5
2023/9/24, 41, , 4
2023/9/25, 31, , 5
2023/9/26, 45, , 6
2023/9/27, 39, , 6
2023/9/28, 36, , 5
2023/9/29, 40, , 5
2023/9/30, 39, , 5
2023/10/1, 37, , 3
2023/4/2, 65, , 
2023/4/12, 59, 55, 5
2023/4/13, 35, 46, 6
2023/4/14, 70, 48, 7
2023/4/15, 67, 43, 7
2023/4/16, 69, 53, 6
2023/4/17, 98, 52, 4
2023/4/18, 76, 41, 6
2023/4/19, 76, 51, 7
2023/4/20, 76, 51, 7
2023/4/21, 100, 33, 7
2023/4/22, 85, 48, 3
2023/4/23, 112, 49, 6
2023/4/24, 135, 51, 6
2023/4/28, 76, 52, 9
2023/4/29, 73, 79, 
2023/4/30, 71, 75, 
2023/5/1, 48, 60, 
2023/5/2, 41, 55, 
2023/5/4, 75, 77, 8
2023/5/5, 85, 86, 7
2023/5/6, 77, 96, 6
2023/5/7, 71, 76, 4
2023/5/8, 65, 54, 5
2023/5/9, 64, 54, 5
2023/5/10, 54, 44, 5
2023/5/11, 77, 68, 5
2023/5/12, 62, 68, 6
2023/5/13, 75, 47, 6
2023/5/14, 76, 50, 3
2023/5/15, 46, 51, 4
2023/5/16, 48, 54, 6
2023/5/17, 52, 51, 6
2023/5/18, 52, 70, 5
2023/5/19, 61, 74, 4
2023/5/20, 52, 41, 4
2023/5/21, 25, 51, 3
2023/5/22, 31, 70, 4
2023/5/23, 33, 69, 5
2023/5/24, 54, 60, 5
2023/5/25, 46, 73, 4
2023/5/26, 58, 74, 4
2023/5/27, 54, 49, 4
2023/5/28, 49, 61, 3
2023/5/29, 35, 50, 6
2023/5/30, 50, 62, 6
2023/5/31, 50, 74, 5
2023/6/1, 52, 68, 5
2023/6/2, 57, 68, 7
2023/6/3, 74, 54, 6
2023/6/4, 61, 44, 5
2023/6/5, 83, 69, 4
2023/6/6, 51, 64, 3
2023/6/7, 47, 67, 4
2023/6/8, 57, 48, 6
2023/6/9, 56, 64, 8
2023/6/10, 74, 72, 6
2023/6/11, 76, 69, 5
2023/6/12, 67, 63, 5
2023/6/13, 68, 52, 6
2023/6/14, 63, 76, 6
2023/6/15, 50, 63, 7
2023/6/16, 68, 76, 6
2023/6/17, 66, 78, 4
2023/6/18, 70, 67, 4
2023/6/19, 66, 59, 5
2023/6/20, 72, 58, 4
2023/6/21, 61, 56, 5
2023/6/22, 67, 50, 5
2023/6/23, 69, 47, 4
2023/6/24, 89, 45, 4
2023/6/25, 88, 35, 2
2023/6/26, 61, 37, 2
2023/6/27, 47, 48, 3
2023/6/28, 51, 55, 4
2023/6/29, 68, 34, 3
2023/6/30, 94, 51, 4
2023/7/1, 30, 44, 5
2023/1/3, 42, 33, 8
2023/1/4, 48, 41, 9
2023/1/5, 62, 40, 9
2023/1/6, 53, 41, 9
2023/1/7, 47, 49, 9
2023/1/8, 60, 46, 9
2023/1/9, 50, 55, 8
2023/1/10, 57, 49, 8
2023/1/11, 56, 59, 10
2023/1/12, 61, 60, 9
2023/1/13, 81, 46, 6
2023/1/14, 55, 51, 8
2023/1/15, 68, 60, 9
2023/1/16, 75, 45, 10
2023/1/17, 81, 55, 11
2023/1/18, 78, 42, 10
2023/1/19, 88, 48, 11
2023/1/20, 87, 50, 10
2023/1/21, 75, 44, 9
2023/1/22, 87, 44, 8
2023/1/23, 64, 35, 7
2023/1/24, 82, 35, 7
2023/1/25, 66, 42, 9
2023/1/26, 73, 49, 7
2023/1/27, 68, 47, 7
2023/1/28, 49, 43, 8
2023/1/29, 57, 43, 8
2023/1/30, 82, 58, 10
2023/1/31, 78, 60, 9
2023/2/1, 61, 54, 6
2023/2/2, 56, 44, 8
2023/2/3, 78, 26, 7
2023/2/4, 68, , 
2023/2/6, 61, 49, 8
2023/2/7, 48, 61, 10
2023/2/8, 77, 51, 10
2023/2/9, 88, 58, 7
2023/2/10, 67, 53, 7
2023/2/11, 74, 48, 5
2023/2/13, 65, 53, 8
2023/2/14, 72, 37, 5
2023/2/15, 68, 38, 7
2023/2/16, 71, 39, 8
2023/2/17, 74, 44, 6
2023/2/18, 86, 49, 6
2023/2/19, 56, 60, 6
2023/2/20, 58, 66, 7
2023/2/21, 66, 46, 7
2023/2/22, 74, 37, 5
2023/2/23, 53, 63, 9
2023/2/24, 75, 53, 10
2023/2/25, 79, 71, 6
2023/2/26, 71, 48, 6
2023/2/27, 63, 45, 8
2023/2/28, 75, 64, 9
2023/3/1, 80, 45, 8
2023/3/2, 77, 44, 7
2023/3/3, 87, 50, 7
2023/3/4, 67, 46, 8
2023/3/5, 72, 15, 9
2023/3/6, 73, 71, 8
2023/3/7, 84, 63, 9
2023/3/8, 66, 76, 9
2023/3/9, 64, 78, 8
2023/3/10, 68, 66, 8
2023/3/11, 64, 70, 8
2023/3/12, 85, 62, 7
2023/3/13, 75, 48, 7
2023/3/14, 48, 49, 7
2023/3/15, 74, 51, 6
2023/3/16, 49, 42, 5
2023/3/17, 50, 42, 6
2023/3/18, 54, 38, 6
2023/3/19, 54, 41, 4
2023/3/20, 35, 47, 4
2023/3/21, 34, 44, 7
2023/3/22, 57, 66, 9
2023/3/23, 72, 55, 7
2023/3/24, 68, 45, 6
2023/3/25, 61, 57, 7
2023/3/26, 69, 51, 7
2023/3/27, 72, 57, 9
2023/3/28, 78, 88, 8
2023/3/29, 87, 78, 5
2023/3/30, 66, 60, 7
2023/3/31, 62, 66, 7
2023/4/1, 64, 92, 7
2022/10/2, 21, , 
2022/10/3, 35, , 
2022/10/4, 46, , 
2022/10/5, 31, , 
2022/10/6, 25, , 
2022/10/7, 19, , 
2022/10/8, 23, , 
2022/10/9, 23, , 
2022/10/10, 14, , 
2022/10/11, 29, 9, 6
2022/10/12, 23, 26, 5
2022/10/13, 26, 35, 4
2022/10/14, 35, 41, 6
2022/10/15, 39, 42, 5
2022/10/16, 37, 52, 5
2022/10/17, 36, 55, 6
2022/10/18, 46, 25, 4
2022/10/19, 33, 34, 4
2022/10/20, 36, 39, 5
2022/10/21, 27, 16, 6
2022/10/22, 32, , 
2022/10/25, 40, 44, 6
2022/10/26, 49, 53, 6
2022/10/27, 51, 41, 7
2022/10/28, 59, 40, 7
2022/10/29, 59, 57, 6
2022/10/30, 57, 46, 6
2022/10/31, 53, 40, 7
2022/11/1, 59, 51, 7
2022/11/2, 58, 46, 5
2022/11/3, 43, 47, 6
2022/11/4, 53, 62, 8
2022/11/5, 68, 48, 8
2022/11/6, 66, 56, 7
2022/11/7, 60, 43, 6
2022/11/8, 50, 34, 5
2022/11/9, 44, 14, 6
2022/11/10, 34, , 
2022/11/12, 76, 67, 8
2022/11/13, 76, 47, 5
2022/11/14, 42, 35, 6
2022/11/15, 61, 65, 8
2022/11/16, 75, 51, 6
2022/11/17, 46, 41, 5
2022/11/18, 49, 49, 6
2022/11/19, 47, 48, 6
2022/11/20, 54, 30, 4
2022/11/21, 34, 33, 4
2022/11/22, 16, 37, 6
2022/11/23, 33, 48, 7
2022/11/24, 46, 42, 7
2022/11/25, 55, 43, 7
2022/11/26, 56, , 
2022/11/29, 62, 41, 8
2022/11/30, 64, 36, 7
2022/12/1, 65, 27, 5
2022/12/2, 37, 35, 5
2022/12/3, 33, 27, 5
2022/12/4, 49, 32, 4
2022/12/5, 30, 44, 7
2022/12/6, 50, 53, 10
2022/12/7, 71, 55, 9
2022/12/8, 62, 44, 7
2022/12/9, 55, 38, 7
2022/12/10, 53, 50, 7
2022/12/11, 61, 57, 9
2022/12/12, 77, 51, 8
2022/12/13, 66, 45, 9
2022/12/14, 86, 42, 9
2022/12/15, 74, 44, 10
2022/12/16, 85, 51, 11
2022/12/17, 83, 48, 11
2022/12/18, 76, 40, 7
2022/12/19, 55, 38, 8
2022/12/20, 71, 40, 9
2022/12/21, 76, 42, 8
2022/12/22, 69, 49, 10
2022/12/23, 89, 52, 10
2022/12/24, 76, 44, 7
2022/12/25, 62, 35, 5
2022/12/26, 39, 36, 6
2022/12/27, 29, 40, 8
2022/12/28, 38, 43, 8
2022/12/29, 46, 36, 7
2022/12/30, 54, 37, 8
2022/12/31, 62, 32, 8
2023/1/1, 50, 29, 6
2023/1/2, 89, 26, 6
2022/7/2, 35, , 12
2022/7/3, 40, , 8
2022/7/4, 30, , 7
2022/7/5, 36, , 9
2022/7/6, 31, , 10
2022/7/7, 35, , 9
2022/7/8, 33, , 8
2022/7/9, 35, , 6
2022/7/10, 35, , 4
2022/7/11, 24, , 10
2022/7/12, 37, , 8
2022/7/13, 31, , 8
2022/7/14, 37, , 8
2022/7/15, 30, , 7
2022/7/16, 34, , 7
2022/7/17, 19, , 5
2022/7/18, 26, , 9
2022/7/19, 35, , 10
2022/7/20, 32, 72, 10
2022/7/21, 40, 82, 12
2022/7/22, 36, 72, 7
2022/7/23, 42, 60, 6
2022/7/24, 33, 45, 7
2022/7/25, 24, 38, 6
2022/7/26, 27, 44, 8
2022/7/27, 23, 41, 8
2022/7/28, 24, 53, 11
2022/7/29, 28, 37, 9
2022/7/30, 25, 41, 6
2022/7/31, 36, 46, 4
2022/8/1, 24, 48, 6
2022/8/2, 27, 46, 8
2022/8/3, 27, 54, 8
2022/8/4, 28, 49, 6
2022/8/5, 30, 55, 7
2022/8/6, 41, 49, 7
2022/8/7, 48, 35, 4
2022/8/8, 30, 35, 5
2022/8/9, 55, 37, 7
2022/8/10, 29, 39, 7
2022/8/11, 22, 43, 5
2022/8/12, 34, 40, 5
2022/8/13, 31, 64, 7
2022/8/14, 26, 49, 5
2022/8/15, 14, 40, 7
2022/8/16, 17, 36, 7
2022/8/17, 17, 47, 8
2022/8/18, 20, 60, 7
2022/8/19, 22, 49, 9
2022/8/20, 40, 39, 8
2022/8/21, 35, 37, 7
2022/8/22, 25, 51, 7
2022/8/23, 29, 51, 7
2022/8/24, 35, 66, 9
2022/8/25, 28, 47, 7
2022/8/26, 36, 44, 7
2022/8/27, 39, 64, 8
2022/8/28, 48, 56, 5
2022/8/29, 36, 53, 9
2022/8/30, 38, 49, 7
2022/8/31, 24, 48, 8
2022/9/1, 25, 37, 6
2022/9/2, 41, 33, 5
2022/9/3, 35, 25, 4
2022/9/4, 30, 26, 3
2022/9/5, 36, 19, 7
2022/9/6, 14, 29, 7
2022/9/7, 17, 36, 7
2022/9/8, 15, 28, 6
2022/9/9, 12, 48, 9
2022/9/10, 29, 50, 8
2022/9/11, 31, 43, 5
2022/9/12, 31, 23, 8
2022/9/13, 35, , 
2022/9/14, 34, , 
2022/9/15, 42, , 
2022/9/16, 26, , 
2022/9/17, 15, , 
2022/9/18, 19, , 
2022/9/19, 14, , 
2022/9/20, 23, , 
2022/9/21, 25, , 
2022/9/22, 30, , 
2022/9/23, 30, , 
2022/9/24, 26, , 
2022/9/25, 28, , 
2022/9/26, 23, , 
2022/9/27, 34, , 
2022/9/28, 27, , 
2022/9/29, 27, , 
2022/9/30, 38, , 
2022/10/1, 33, , 
2022/4/2, 60, 52, 15
2022/4/3, 66, 52, 9
2022/4/4, 58, 55, 9
2022/4/5, 65, 57, 9
2022/4/6, 61, 55, 14
2022/4/7, 73, 63, 7
2022/4/8, 98, 57, 6
2022/4/9, 51, 56, 6
2022/4/10, 60, 42, 9
2022/4/11, 58, 50, 9
2022/4/12, 42, 42, 11
2022/4/13, 43, 18, 13
2022/4/14, 53, 70, 12
2022/4/15, 56, 47, 6
2022/4/16, 53, 48, 10
2022/4/17, 62, 59, 9
2022/4/18, 54, 61, 8
2022/4/19, 56, 68, 8
2022/4/20, 39, 56, 10
2022/4/21, 46, 68, 11
2022/4/22, 65, 63, 7
2022/4/23, 29, 35, 6
2022/4/24, 31, 52, 6
2022/4/25, 45, 59, 8
2022/4/26, 45, 45, 6
2022/4/27, 50, 45, 5
2022/4/28, 31, 59, 7
2022/4/29, 43, 60, 10
2022/4/30, 48, 62, 9
2022/5/1, 65, 73, 8
2022/5/2, 53, 69, 10
2022/5/3, 68, 65, 16
2022/5/4, 69, 79, 14
2022/5/5, 70, 86, 12
2022/5/6, 65, 74, 10
2022/5/7, 68, 80, 11
2022/5/8, 63, 76, 9
2022/5/9, 61, 77, 8
2022/5/10, 64, 64, 8
2022/5/11, 58, 41, 5
2022/5/12, 51, 55, 7
2022/5/13, 42, 69, 10
2022/5/14, 55, 70, 8
2022/5/15, 51, 60, 5
2022/5/16, 46, 50, 10
2022/5/17, 48, 79, 9
2022/5/18, 61, , 
2022/5/22, 71, 86, 7
2022/5/23, 79, 80, 6
2022/5/24, 66, 74, 9
2022/5/25, 57, 80, 11
2022/5/26, 64, 60, 6
2022/5/27, 62, 45, 6
2022/5/28, 55, 54, 7
2022/5/29, 52, 55, 6
2022/5/30, 43, 74, 6
2022/5/31, 50, 58, 6
2022/6/1, 47, 50, 7
2022/6/2, 47, 42, 6
2022/6/3, 36, 57, 6
2022/6/4, 33, 56, 6
2022/6/5, 37, 61, 8
2022/6/6, 32, 69, 9
2022/6/7, 40, 85, 11
2022/6/8, 50, 81, 7
2022/6/9, 59, 40, 5
2022/6/10, 48, 56, 6
2022/6/11, 34, 72, 6
2022/6/12, 38, 62, 5
2022/6/13, 40, 86, 7
2022/6/14, 45, 42, 7
2022/6/15, 62, 38, 4
2022/6/18, 42, , 5
2022/6/19, 48, , 3
2022/6/20, 35, , 4
2022/6/21, 45, , 5
2022/6/22, 33, , 4
2022/6/23, 36, , 5
2022/6/24, 42, , 6
2022/6/25, 55, , 7
2022/6/26, 45, , 8
2022/6/27, 34, , 6
2022/6/28, 32, , 6
2022/6/29, 31, , 6
2022/6/30, 34, , 8
2022/7/1, 35, , 10
2022/1/4, 53, 43, 22
2022/1/5, 69, 51, 24
2022/1/6, 79, 42, 21
2022/1/7, 77, 48, 14
2022/1/8, 56, 46, 19
2022/1/9, 86, 53, 15
2022/1/10, 64, 32, 8
2022/1/11, 62, 29, 6
2022/1/12, 36, 36, 12
2022/1/13, 35, 39, 17
2022/1/14, 49, 43, 17
2022/1/15, 56, 41, 17
2022/1/16, 82, 45, 10
2022/1/17, 55, 37, 15
2022/1/18, 57, 43, 18
2022/1/19, 60, 40, 17
2022/1/20, 72, 39, 17
2022/1/21, 69, 30, 16
2022/1/22, 57, 38, 14
2022/1/23, 65, 45, 8
2022/1/24, 40, 34, 8
2022/1/25, 64, 35, 11
2022/1/26, 41, 39, 12
2022/1/27, 54, 33, 15
2022/1/28, 61, 38, 12
2022/1/29, 78, 40, 9
2022/1/30, 39, 37, 9
2022/1/31, 44, 34, 10
2022/2/1, 73, 38, 12
2022/2/2, 56, 34, 13
2022/2/3, 59, 12, 14
2022/2/4, 47, , 
2022/3/17, 56, 37, 9
2022/3/18, 53, 49, 14
2022/3/19, 79, 55, 9
2022/3/20, 63, 49, 6
2022/3/21, 44, 43, 9
2022/3/22, 60, 42, 8
2022/3/23, 56, 50, 12
2022/3/24, 61, 48, 12
2022/3/25, 55, 58, 8
2022/3/26, 48, 60, 8
2022/3/27, 45, 62, 11
2022/3/28, 48, 64, 14
2022/3/29, 68, 69, 13
2022/3/30, 69, 44, 11
2022/3/31, 64, 52, 12
2022/4/1, 58, 63, 12
2021/10/2, 16, 18, 11
2021/10/3, 20, , 
2021/10/5, 29, , 
2021/10/9, 35, , 
2021/10/18, 35, 41, 10
2021/10/19, 29, 40, 11
2021/10/20, 38, 35, 11
2021/10/21, 38, 28, 8
2021/10/22, 31, 25, 8
2021/10/23, 34, 29, 11
2021/10/24, 36, 38, 10
2021/10/25, 44, 7, 16
2021/10/26, 32, 27, 8
2021/10/27, 29, 34, 12
2021/10/28, 35, 45, 14
2021/10/29, 51, 43, 12
2021/10/30, 44, 47, 14
2021/10/31, 56, 38, 13
2021/11/1, 49, 34, 11
2021/11/2, 39, 29, 9
2021/11/3, 38, 35, 14
2021/11/4, 38, 37, 12
2021/11/5, 43, 40, 11
2021/11/6, 34, 36, 11
2021/11/7, 39, 41, 8
2021/11/8, 28, 37, 11
2021/11/9, 35, 38, 12
2021/11/10, 44, 51, 17
2021/11/11, 56, 59, 19
2021/11/12, 64, 42, 11
2021/11/13, 43, 32, 8
2021/11/14, 44, 37, 7
2021/11/15, 26, 37, 9
2021/11/16, 29, 43, 17
2021/11/17, 44, 46, 22
2021/11/18, 66, 51, 17
2021/11/19, 69, 27, 8
2021/11/20, 42, 37, 12
2021/11/21, 46, 39, 11
2021/11/22, 43, 31, 9
2021/11/23, 43, 38, 9
2021/11/24, 32, 35, 11
2021/11/25, 41, 38, 15
2021/11/26, 53, 37, 9
2021/11/27, 42, 38, 13
2021/11/28, 48, 51, 12
2021/11/29, 69, 46, 10
2021/11/30, 42, 44, 15
2021/12/1, 49, 121, 14
2021/12/2, 47, , 11
2021/12/3, 42, 18, 14
2021/12/4, 45, , 14
2021/12/5, 56, , 14
2021/12/6, 47, , 20
2021/12/7, 73, , 23
2021/12/8, 71, , 22
2021/12/9, 78, , 23
2021/12/10, 83, , 22
2021/12/11, 83, , 20
2021/12/12, 86, , 
2021/12/16, 79, 50, 20
2021/12/17, 67, 59, 18
2021/12/18, 66, 43, 18
2021/12/22, 49, 52, 23
2021/12/23, 63, 56, 24
2021/12/24, 69, 46, 23
2021/12/25, 77, 65, 17
2021/12/26, 102, 48, 15
2021/12/27, 49, 58, 19
2021/12/28, 70, 44, 17
2021/12/29, 71, 43, 19
2021/12/30, 70, 50, 20
2021/12/31, 75, 45, 16
2022/1/1, 68, 37, 12
2022/1/2, 115, , 
2021/7/6, 33, 33, 9
2021/7/7, 20, 34, 8
2021/7/8, 27, 28, 9
2021/7/9, 16, , 
2021/7/21, 26, 55, 7
2021/7/22, 31, 39, 8
2021/7/23, 22, 42, 9
2021/7/24, 38, 54, 9
2021/7/25, 41, 47, 7
2021/7/26, 44, 47, 11
2021/7/27, 31, 50, 10
2021/7/28, 32, 54, 9
2021/7/29, 31, , 
2021/8/2, 30, 53, 10
2021/8/3, 25, 49, 10
2021/8/4, 19, 42, 12
2021/8/5, 28, 42, 10
2021/8/6, 25, 46, 9
2021/8/7, 18, 46, 8
2021/8/8, 29, 32, 8
2021/8/9, 29, 45, 10
2021/8/10, 21, 44, 
2021/8/11, 29, 49, 
2021/8/12, 30, 54, 
2021/8/13, 34, 51, 
2021/8/14, 26, , 
2021/8/16, 25, 43, 
2021/8/17, 28, 48, 
2021/8/18, 34, 51, 
2021/8/19, 29, 43, 
2021/8/20, 37, 34, 
2021/8/21, 26, 17, 
2021/8/22, 12, , 
2021/8/24, 44, 29, 
2021/8/25, 37, 27, 
2021/8/26, 38, 29, 
2021/9/1, 31, 29, 
2021/9/2, 23, 27, 10
2021/9/3, 14, 26, 8
2021/9/4, 19, 37, 7
2021/9/5, 19, 40, 6
2021/9/6, 24, 31, 7
2021/9/7, 15, 32, 8
2021/9/8, 14, 37, 10
2021/9/9, 23, 41, 8
2021/9/10, 34, 41, 9
2021/9/11, 38, 22, 9
2021/9/12, 30, 32, 5
2021/9/13, 22, 31, 7
2021/9/14, 28, 16, 6
2021/9/15, 13, 33, 10
2021/9/16, 30, 40, 10
2021/9/17, 28, , 
2021/9/27, 35, 40, 10
2021/9/28, 38, 33, 9
2021/9/29, 20, 43, 10
2021/9/30, 32, 46, 8
2021/10/1, 15, 40, 10
2021/5/13, 63, 24, 4
2021/5/14, 22, 29, 5
2021/5/15, 22, 29, 6
2021/5/16, 31, 43, 5
2021/5/17, 20, 43, 7
2021/5/18, 39, 48, 9
2021/5/19, 41, 46, 9
2021/5/20, 43, 39, 6
2021/5/21, 44, 59, 7
2021/5/25, 36, 30, 7
2021/5/26, 41, 46, 6
2021/5/27, 41, 44, 5
2021/5/28, 46, 49, 6
2021/5/29, 50, 55, 7
2021/5/30, 56, 48, 6
2021/5/31, 33, 43, 5
2021/6/1, 44, 44, 5
2021/6/2, 40, 42, 6
2021/6/3, 19, 36, 6
2021/6/4, 13, 29, 7
2021/6/5, 18, 39, 9
2021/6/6, 40, 48, 9
2021/6/7, 28, 51, 5
2021/6/8, 39, 47, 10
2021/6/9, 46, 42, 11
2021/6/10, 42, 39, 7
2021/6/11, 35, 31, 7
2021/6/12, 38, 30, 4
2021/6/13, 31, 30, 5
2021/6/14, 11, 19, 4
2021/6/15, 13, 19, 5
2021/6/16, 29, 34, 5
2021/6/17, 26, 34, 6
2021/6/18, 24, 19, 
2021/6/19, 19, 32, 5
2021/6/20, 22, 7, 11
2021/6/21, 17, 35, 6
2021/6/22, 27, 38, 9
2021/6/23, 24, 43, 10
2021/6/24, 24, 40, 10
2021/6/25, 24, 31, 13
2020/1/8, 73, 50, 
2020/1/9, 58, 59, 
2020/1/10, 86, 43, 
2020/1/11, 84, 37, 
2020/1/12, 73, 41, 
2020/1/13, 56, 46, 
2020/1/14, 60, 40, 
2020/1/15, 55, 39, 
2020/1/16, 52, 38, 
2020/1/17, 52, 42, 
2020/1/18, 40, 36, 
2020/1/19, 49, 26, 
2020/1/20, 39, 27, 
2020/1/21, 25, 27, 
2020/1/22, 40, 29, 
2020/1/23, 50, 24, 
2020/1/24, 53, 37, 
2020/1/25, 38, 29, 
2020/1/26, 40, 24, 
2020/1/27, 53, 34, 
2020/1/28, 55, 43, 
2020/1/29, 63, 36, 
2020/1/30, 64, 24, 9
2020/1/31, 66, 31, 14
2020/2/1, 47, , 
2020/2/4, 71, 24, 10
2020/2/5, 25, 15, 10
2020/2/6, 20, 49, 14
2020/2/7, 35, 55, 22
2020/2/8, 59, 67, 22
2020/2/9, 63, 45, 14
2020/2/10, 50, 42, 14
2020/2/11, 52, 53, 15
2020/2/12, 60, 48, 9
2020/2/13, 44, 53, 15
2020/2/14, 57, 48, 11
2020/2/15, 43, 72, 14
2020/2/16, 53, 72, 14
2020/2/17, 53, 48, 16
2020/2/18, 46, 70, 18
2020/2/19, 57, 58, 15
2020/2/20, 55, 67, 10
2020/2/21, 52, , 
2020/2/24, 58, 49, 12
2020/2/25, 53, 43, 15
2020/2/26, 59, 52, 15
2020/2/27, 65, 57, 14
2020/2/28, 40, 77, 16
2020/2/29, 54, 78, 21
2020/3/1, 62, 49, 14
2020/3/2, 51, 58, 18
2020/3/3, 53, 45, 16
2020/3/4, 117, 54, 20
2020/3/5, 52, 59, 18
2020/3/6, 58, 44, 10
2020/3/7, 54, 73, 12
2020/3/8, 41, 66, 13
2020/3/9, 41, 72, 18
2020/3/10, 48, 73, 14
2020/3/11, 48, 87, 15
2020/3/12, 44, 89, 23
2020/3/13, 55, 103, 31
2020/3/14, 72, , 
2020/3/17, 26, 67, 16
2020/3/18, 34, , 
2020/3/21, 48, , 
2020/3/24, 40, 54, 12
2020/3/25, 25, 50, 14
2019/10/2, 27, 45, 9
2019/10/3, 35, 38, 9
2019/10/4, 38, 46, 9
2019/10/5, 37, 40, 8
2019/10/6, 36, 44, 6
2019/10/7, 30, 36, 9
2019/10/8, 46, 35, 9
2019/10/9, 39, 45, 10
2019/10/10, 41, 44, 9
2019/10/11, 39, 45, 11
2019/10/12, 48, 34, 7
2019/10/13, 39, 48, 6
2019/10/14, 29, 39, 8
2019/10/15, 39, 48, 9
2019/10/16, 40, 26, 8
2019/10/17, 51, 27, 8
2019/10/18, 24, 27, 8
2019/10/19, 24, 35, 8
2019/10/20, 34, 22, 5
2019/10/21, 19, 35, 10
2019/10/22, 31, 34, 9
2019/10/23, 35, 42, 9
2019/10/24, 32, 42, 9
2019/10/25, 33, 47, 10
2019/10/26, 41, 34, 9
2019/10/27, 21, 45, 9
2019/10/28, 32, 47, 14
2019/10/29, 46, 45, 12
2019/10/30, 53, 39, 11
2019/10/31, 49, 30, 9
2019/11/1, 42, 44, 10
2019/11/2, 37, 29, 8
2019/11/3, 39, 40, 6
2019/11/4, 25, 43, 12
2019/11/5, 41, 39, 10
2019/11/6, 44, 30, 8
2019/11/7, 38, 41, 9
2019/11/8, 37, 29, 7
2019/11/9, 46, 30, 6
2019/11/10, 40, 38, 8
2019/11/11, 35, 50, 11
2019/11/12, 56, 35, 8
2019/11/13, 52, 22, 9
2019/11/14, 36, 34, 10
2019/11/15, 55, 32, 6
2019/11/16, 35, 36, 6
2019/11/17, 35, 37, 7
2019/11/18, 37, 38, 7
2019/11/19, 35, 40, 9
2019/11/20, 52, 42, 11
2019/11/21, 64, 41, 10
2019/11/22, 66, 38, 10
2019/11/23, 61, 45, 9
2019/11/24, 60, 39, 5
2019/11/25, 44, 46, 9
2019/11/26, 65, 40, 7
2019/11/27, 67, 52, 6
2019/11/28, 67, 48, 4
2019/11/29, 55, 50, 5
2019/11/30, 75, 47, 5
2019/12/1, 87, 40, 2
2019/12/2, 68, 34, 3
2019/12/3, 52, 52, 4
2019/12/4, 62, 54, 6
2019/12/5, 80, 56, 5
2019/12/6, 68, 9, 6
2019/12/7, 68, , 
2019/12/9, 55, 60, 5
2019/12/10, 68, 50, 5
2019/12/11, 85, 37, 2
2019/12/12, 61, 34, 
2019/12/13, 51, 40, 
2019/12/14, 81, 54, 
2019/12/15, 96, 55, 
2019/12/16, 75, 41, 
2019/12/17, 78, 60, 
2019/12/18, 77, 29, 
2019/12/19, 48, 37, 
2019/12/20, 58, 22, 
2019/12/21, 58, , 
2019/7/2, 39, 62, 13
2019/7/3, 39, 50, 10
2019/7/4, 43, 46, 16
2019/7/5, 47, 53, 9
2019/7/6, 54, 41, 7
2019/7/7, 54, 54, 6
2019/7/8, 55, 58, 10
2019/7/9, 44, 59, 13
2019/7/10, 44, 52, 9
2019/7/11, 39, 47, 11
2019/7/12, 39, 28, 13
2019/7/13, 32, , 
2019/7/16, 45, 49, 14
2019/7/17, 44, 47, 11
2019/7/18, 36, 44, 11
2019/7/19, 36, 45, 12
